customer_id,age,region
1,40,North
2,33,West
3,42,Central
4,53,West
5,32,East
6,32,Central
7,53,West
8,44,East
9,29,West
10,41,West
11,29,Central
12,29,East
13,37,North
14,18,South
15,18,Central
16,28,East
17,22,West
18,38,East
19,24,South
20,18,South
21,52,North
22,32,North
23,35,South
24,18,Central
25,28,Central
26,36,West
27,21,North
28,39,West
29,27,North
30,31,South
31,27,Central
32,57,Central
33,34,South
34,22,West
35,44,West
36,20,East
37,37,North
38,18,West
39,19,South
40,37,West
41,43,Central
42,37,North
43,33,East
44,31,North
45,18,Central
46,26,Central
47,29,Central
48,47,Central
49,39,South
50,18,East
51,38,Central
52,30,Central
53,26,West
54,42,East
55,47,North
56,46,East
57,24,East
58,31,East
59,38,Central
60,46,Central
61,29,South
62,32,North
63,21,West
64,20,East
65,44,North
66,51,North
67,34,South
68,47,West
69,39,East
70,27,West
71,39,South
72,53,Central
73,34,North
74,53,East
75,18,Central
76,44,South
77,36,West
78,31,North
79,36,East
80,18,Central
81,32,Central
82,39,North
83,52,West
84,28,South
85,25,West
86,28,West
87,45,West
88,38,North
89,28,North
90,41,South
91,36,West
92,46,North
93,26,South
94,31,South
95,30,West
96,18,East
97,38,West
98,38,East
99,35,South
100,32,North
101,18,Central
102,29,South
103,30,North
104,25,South
105,33,West
106,39,East
107,57,South
108,37,North
109,38,West
110,34,Central
111,18,West
112,34,East
113,35,West
114,64,Central
115,32,North
116,38,South
117,34,East
118,20,Central
119,48,East
120,44,West
121,44,East
122,24,Central
123,51,South
124,18,South
125,42,East
126,61,North
127,23,East
128,28,West
129,36,South
130,28,South
131,18,South
132,35,North
133,22,North
134,40,Central
135,23,East
136,53,East
137,25,West
138,31,South
139,44,North
140,20,West
141,37,West
142,50,North
143,18,East
144,37,South
145,38,East
146,44,West
147,20,South
148,19,Central
149,41,West
150,38,East
151,38,East
152,39,East
153,26,North
154,37,West
155,38,South
156,26,East
157,57,East
158,40,North
159,20,South
160,42,West
161,23,Central
162,44,North
163,48,West
164,25,Central
165,46,East
166,39,East
167,44,South
168,57,Central
169,32,East
170,25,East
171,24,South
172,25,West
173,34,East
174,39,North
175,38,North
176,44,West
177,35,Central
178,52,South
179,31,North
180,67,North
181,42,West
182,24,Central
183,22,Central
184,40,West
185,32,North
186,43,South
187,40,North
188,34,Central
189,24,North
190,18,South
191,29,East
192,45,North
193,37,West
194,20,East
195,37,West
196,39,West
197,24,West
198,36,North
199,35,Central
200,21,East
201,39,South
202,41,Central
203,47,North
204,47,West
205,18,South
206,23,East
207,41,Central
208,41,Central
209,41,South
210,80,North
211,41,East
212,48,South
213,46,West
214,42,East
215,31,Central
216,44,South
217,25,Central
218,32,Central
219,29,Central
220,35,North
221,62,Central
222,18,West
223,43,West
224,18,East
225,29,Central
226,48,Central
227,35,South
228,22,North
229,26,East
230,43,Central
231,26,South
232,37,North
233,35,East
234,27,East
235,60,Central
236,42,East
237,18,South
238,37,East
239,27,West
240,45,South
241,25,North
242,33,North
243,41,Central
244,45,Central
245,20,West
246,30,North
247,29,North
248,27,North
249,56,North
250,39,East
251,19,South
252,46,South
253,60,West
254,47,East
255,18,North
256,29,North
257,50,Central
258,26,Central
259,40,West
260,44,North
261,23,West
262,34,East
263,18,South
264,22,North
265,31,East
266,20,North
267,54,Central
268,18,West
269,29,Central
270,36,South
271,52,Central
272,18,North
273,48,Central
274,35,North
275,23,South
276,40,Central
277,37,West
278,27,West
279,35,West
280,30,Central
281,36,Central
282,42,Central
283,54,North
284,20,South
285,60,West
286,18,North
287,33,West
288,42,North
289,38,Central
290,27,West
291,32,Central
292,29,West
293,27,East
294,45,North
295,39,East
296,26,North
297,45,South
298,38,West
299,44,South
300,42,South
301,25,North
302,28,East
303,43,Central
304,42,North
305,34,Central
306,36,South
307,50,Central
308,27,East
309,41,North
310,32,East
311,32,East
312,48,North
313,44,East
314,44,West
315,50,West
316,35,West
317,43,Central
318,31,East
319,38,North
320,33,North
321,36,Central
322,42,North
323,25,West
324,60,East
325,22,North
326,20,North
327,48,South
328,44,South
329,42,South
330,42,East
331,34,West
332,24,West
333,35,West
334,26,East
335,46,East
336,33,South
337,25,North
338,31,Central
339,39,Central
340,28,North
341,25,South
342,37,North
343,37,North
344,28,Central
345,29,South
346,37,East
347,18,Central
348,18,East
349,26,South
350,32,North
351,38,West
352,52,West
353,45,South
354,33,West
355,34,East
356,22,West
357,34,South
358,31,South
359,38,East
360,25,West
361,41,West
362,53,North
363,33,Central
364,39,South
365,43,North
366,30,South
367,37,North
368,35,Central
369,36,North
370,25,South
371,35,West
372,40,South
373,52,East
374,46,East
375,60,East
376,25,East
377,45,Central
378,37,West
379,61,West
380,25,South
381,24,North
382,27,South
383,18,South
384,28,South
385,25,South
386,36,West
387,39,North
388,57,South
389,46,West
390,28,South
391,24,East
392,40,South
393,19,South
394,56,Central
395,49,East
396,29,North
397,18,South
398,51,North
399,33,East
400,49,South
401,18,Central
402,27,West
403,35,Central
404,35,Central
405,29,West
406,42,West
407,22,West
408,33,South
409,36,North
410,41,North
411,43,West
412,21,Central
413,18,East
414,50,West
415,38,Central
416,26,Central
417,53,South
418,36,South
419,49,North
420,35,North
421,59,East
422,56,East
423,32,East
424,46,East
425,42,Central
426,51,Central
427,23,North
428,43,South
429,47,South
430,18,West
431,20,Central
432,18,East
433,31,East
434,43,West
435,53,South
436,35,East
437,54,South
438,18,West
439,18,South
440,34,South
441,39,South
442,34,East
443,18,North
444,33,Central
445,19,South
446,43,South
447,39,South
448,23,North
449,28,West
450,22,East
451,34,North
452,46,South
453,23,North
454,41,North
455,28,North
456,25,West
457,33,Central
458,22,East
459,28,West
460,20,West
461,58,Central
462,35,West
463,26,North
464,37,North
465,33,South
466,32,West
467,42,South
468,44,East
469,28,North
470,28,East
471,31,Central
472,18,North
473,18,East
474,51,Central
475,54,East
476,32,Central
477,41,Central
478,38,North
479,71,South
480,48,Central
481,33,Central
482,23,North
483,18,South
484,37,West
485,25,West
486,18,South
487,27,East
488,22,North
489,55,South
490,45,West
491,34,Central
492,52,West
493,35,Central
494,24,North
495,53,Central
496,41,South
497,22,Central
498,32,East
499,24,South
500,18,North
501,46,South
502,57,East
503,18,North
504,41,West
505,27,East
506,29,North
507,27,Central
508,24,South
509,35,North
510,25,South
511,38,Central
512,34,North
513,32,West
514,24,East
515,28,North
516,44,Central
517,41,North
518,23,South
519,36,North
520,44,West
521,18,North
522,41,East
523,27,North
524,41,South
525,25,North
526,18,West
527,18,Central
528,35,North
529,38,North
530,24,East
531,42,West
532,18,Central
533,34,South
534,20,North
535,27,Central
536,35,South
537,24,West
538,30,West
539,47,Central
540,28,South
541,45,West
542,21,Central
543,41,West
544,52,West
545,18,West
546,25,East
547,41,South
548,32,Central
549,39,Central
550,27,South
551,36,South
552,33,South
553,49,South
554,38,North
555,39,Central
556,30,North
557,29,West
558,29,West
559,39,Central
560,29,West
561,38,South
562,59,North
563,45,South
564,31,West
565,49,North
566,30,South
567,18,Central
568,22,South
569,18,West
570,30,North
571,35,Central
572,55,North
573,38,Central
574,32,North
575,44,West
576,18,Central
577,37,East
578,44,North
579,18,North
580,48,South
581,39,Central
582,30,East
583,42,West
