customer_id,recency,frequency,monetary
1,2,15,8118.45
2,2,13,6384.6900000000005
3,67,8,2251.43
4,23,11,4932.07
5,11,12,4282.37
6,34,11,5163.62
7,80,8,4311.45
8,19,13,5610.25
9,31,13,7403.12
10,10,12,4235.23
11,20,11,5709.04
12,3,15,7075.38
13,73,14,7355.700000000001
14,31,13,7093.31
15,4,18,6852.62
16,40,9,4381.12
17,16,12,6438.860000000001
18,12,15,6372.95
19,17,12,4757.1
20,29,13,4672.87
21,28,15,7927.75
22,13,15,7733.46
23,29,15,8242.36
24,18,10,6135.84
25,7,14,7236.77
26,6,18,6545.6
27,41,13,6543.11
28,28,14,6197.5199999999995
29,0,10,4170.17
30,9,13,5420.87
31,24,14,6346.22
32,5,11,5272.89
33,141,7,2698.39
34,14,11,4673.75
35,4,10,2729.5099999999998
36,39,11,2911.59
37,39,14,5691.17
38,31,11,4530.25
39,27,10,4841.41
40,73,8,3729.15
41,5,17,9405.64
42,18,11,4546.74
43,10,13,6004.23
44,47,15,5856.889999999999
45,16,12,5843.64
46,59,11,3519.68
47,51,8,3890.24
48,16,14,4975.38
49,35,11,5255.06
50,15,18,5357.24
51,39,9,7233.97
52,38,10,5240.8099999999995
53,131,16,5654.719999999999
54,14,9,5016.13
55,10,12,7612.62
56,26,12,3999.58
57,5,15,9158.47
58,39,6,3709.8900000000003
59,41,15,4847.49
60,0,10,4961.2300000000005
61,1,15,6369.01
62,23,14,7273.68
63,42,10,6910.78
64,47,12,5832.13
65,40,11,4445.41
66,5,15,5421.8
67,6,16,7551.05
68,44,6,2523.26
69,11,11,4793.21
70,53,9,4012.81
71,5,10,4360.93
72,6,14,5133.71
73,0,13,6327.080000000001
74,74,16,5028.07
75,2,6,1407.94
76,69,14,5731.07
77,4,16,8379.52
78,40,14,6681.28
79,2,10,5489.72
80,45,11,6269.29
81,15,12,5805.52
82,19,10,5447.57
83,10,20,8400.23
84,60,9,4659.3
85,107,15,6572.69
86,0,14,6372.2
87,17,11,5055.87
88,35,11,4907.04
89,52,11,7387.25
90,12,13,5737.860000000001
91,33,8,2958.2799999999997
92,16,9,3471.4
93,147,8,1913.76
94,7,8,2775.09
95,17,7,2790.0699999999997
96,21,13,4639.83
97,21,16,9365.57
98,20,11,4936.4
99,44,14,7250.37
100,60,9,4742.68
101,17,13,5125.91
102,41,14,6873.7699999999995
103,67,11,3300.11
104,7,13,6636.95
105,18,13,5068.6
106,66,10,3990.5
107,8,17,5239.7
108,18,20,7509.57
109,24,8,5999.3
110,6,16,6636.64
111,5,16,8974.32
112,8,12,6506.58
113,189,9,4382.92
114,108,5,1999.33
115,108,8,1474.08
116,38,12,5899.83
117,48,10,3551.08
118,94,6,3553.81
119,1,11,2965.52
120,25,8,3567.24
121,46,15,7215.73
122,30,11,3350.39
123,39,19,6349.59
124,25,12,4818.52
125,34,8,5652.37
126,4,15,9082.49
127,3,9,4473.7
128,26,13,7355.57
129,19,16,6598.23
130,20,14,6235.05
131,31,14,5369.11
132,38,11,2734.97
133,30,15,5550.58
134,41,16,6734.51
135,48,9,3747.27
136,26,14,7363.4
137,1,7,1766.77
138,59,7,3289.59
139,8,15,7581.67
140,2,15,7044.15
141,6,11,5040.09
142,16,16,6089.900000000001
143,8,16,7578.0
144,17,14,6592.47
145,0,10,2086.67
146,6,13,4298.54
147,10,10,6099.39
148,0,13,5180.78
149,11,14,5138.51
150,47,15,7168.38
151,5,12,4330.65
152,45,8,3633.1
153,4,20,9948.39
154,38,12,7268.799999999999
155,21,14,5975.59
156,29,14,4855.94
157,51,11,7600.74
158,23,15,6609.24
159,66,11,5941.63
160,10,17,5255.53
161,69,12,6222.67
162,38,16,6273.34
163,56,10,3118.08
164,25,8,2653.75
165,24,14,7714.02
166,24,9,5048.64
167,3,13,5586.15
168,36,19,9930.33
169,34,16,8043.33
170,39,15,5464.15
171,4,9,3554.8500000000004
172,14,12,4518.55
173,27,13,7473.01
174,0,10,4317.64
175,17,12,5879.26
176,13,17,8523.24
177,39,15,4992.71
178,37,18,9535.09
179,14,13,6119.5
180,34,10,4515.38
181,79,8,3024.48
182,71,11,6101.08
183,18,13,5802.49
184,6,9,4919.01
185,1,11,6679.21
186,16,11,5770.3
187,80,10,3902.7799999999997
188,35,19,9716.56
189,11,14,3949.23
190,18,17,6937.0
191,6,8,3782.96
192,7,13,4533.03
193,30,17,6204.31
194,31,13,3951.95
195,43,14,5609.37
196,1,13,3512.82
197,9,12,5184.56
198,6,8,4186.99
199,21,15,6777.29
200,0,13,8564.880000000001
201,29,16,4534.75
202,19,11,6171.85
203,1,12,5333.7
204,17,10,5146.6
205,4,15,6201.13
206,51,17,7133.59
207,8,12,3323.38
208,30,12,5027.0
209,34,14,7684.79
210,23,13,3689.66
211,41,11,3464.93
212,20,13,7473.44
213,17,12,4644.1
214,15,19,4467.07
215,0,16,7994.6900000000005
216,11,16,7006.02
217,63,13,7852.89
218,11,13,3592.65
219,35,16,7192.94
220,76,11,5385.81
221,32,10,4265.86
222,61,9,4167.41
