product_id,category,base_price
1,Electronics,269.03
2,Beauty,299.16
3,Sports,156.04
4,Clothing,27.18
5,Beauty,28.25
6,Clothing,22.91
7,Sports,372.17
8,Clothing,165.82
9,Home,400.19
10,Beauty,221.55
11,Electronics,231.97
12,Clothing,261.31
13,Beauty,359.39
14,Beauty,144.02
15,Clothing,69.58
16,Electronics,282.47
17,Electronics,170.22
18,Clothing,226.82
19,Beauty,327.0
20,Electronics,252.12
21,Clothing,313.94
22,Clothing,276.66
23,Clothing,372.5
24,Beauty,355.91
25,Electronics,271.75
26,Beauty,342.66
27,Home,438.04
28,Electronics,221.81
29,Beauty,212.25
30,Electronics,384.48
31,Home,295.45
32,Sports,44.79
33,Clothing,447.13
34,Beauty,25.08
35,Home,376.71
36,Home,381.81
37,Electronics,477.02
38,Electronics,36.53
39,Clothing,302.46
40,Electronics,219.64
41,Beauty,172.01
42,Beauty,54.26
43,Beauty,285.7
44,Sports,244.73
45,Beauty,61.23
46,Electronics,310.12
47,Electronics,371.6
48,Beauty,385.97
49,Home,453.63
50,Home,210.64
51,Home,477.01
52,Clothing,434.06
53,Sports,155.29
54,Beauty,88.05
55,Clothing,223.34
56,Home,206.93
57,Beauty,292.1
58,Clothing,295.86
59,Electronics,377.49
60,Home,259.85
61,Clothing,61.36
62,Electronics,430.56
63,Home,161.78
64,Sports,485.94
65,Home,67.75
66,Sports,479.54
67,Sports,54.6
68,Sports,123.21
69,Beauty,32.82
70,Beauty,355.51
71,Sports,426.65
72,Electronics,222.69
73,Sports,464.98
74,Clothing,299.25
75,Sports,318.7
76,Beauty,424.26
77,Beauty,155.43
78,Clothing,183.59
79,Clothing,453.92
80,Home,451.47
81,Electronics,488.48
82,Electronics,451.9
83,Electronics,72.41
84,Beauty,413.62
85,Electronics,210.82
86,Home,495.49
87,Home,241.42
88,Electronics,281.38
89,Clothing,269.59
90,Home,167.65
91,Clothing,46.76
92,Beauty,448.87
93,Home,403.31
94,Clothing,78.37
95,Electronics,390.62
96,Beauty,316.66
97,Sports,210.48
98,Sports,134.47
99,Electronics,431.27
100,Beauty,353.09
101,Beauty,278.39
102,Beauty,308.69
103,Beauty,54.62
104,Sports,242.22
105,Clothing,104.91
106,Beauty,112.11
107,Clothing,334.04
108,Beauty,456.52
109,Home,207.84
110,Home,111.8
111,Home,327.89
112,Beauty,436.88
113,Clothing,376.68
114,Sports,435.69
115,Electronics,272.91
116,Sports,378.42
117,Beauty,78.63
118,Home,180.65
119,Home,200.88
120,Clothing,260.53
121,Beauty,465.25
122,Sports,438.41
123,Beauty,75.92
124,Beauty,94.67
125,Home,185.24
126,Sports,152.46
127,Electronics,311.24
128,Home,452.36
129,Sports,481.52
130,Clothing,330.27
131,Home,420.7
132,Clothing,267.35
133,Home,112.08
134,Beauty,267.1
135,Sports,281.99
136,Clothing,373.8
137,Home,117.74
138,Clothing,190.47
139,Home,188.37
140,Home,480.13
141,Electronics,227.53
142,Electronics,380.0
143,Electronics,377.9
144,Clothing,140.12
145,Beauty,290.22
146,Home,448.21
147,Sports,242.85
148,Electronics,473.11
149,Clothing,115.08
150,Clothing,46.34
151,Clothing,446.81
152,Sports,425.36
153,Sports,496.37
154,Electronics,342.9
155,Sports,468.98
156,Electronics,415.21
157,Sports,423.77
158,Sports,288.88
159,Sports,197.36
160,Electronics,467.93
161,Home,221.74
162,Electronics,274.02
163,Home,228.6
164,Clothing,286.76
165,Clothing,240.55
166,Electronics,33.5
167,Home,442.2
168,Home,227.75
169,Home,298.58
170,Clothing,78.2
171,Electronics,11.66
172,Beauty,130.19
173,Home,355.25
174,Home,58.61
175,Beauty,455.35
176,Electronics,115.36
177,Home,110.25
178,Electronics,98.94
179,Home,16.85
180,Sports,388.18
181,Home,438.77
182,Sports,310.94
183,Electronics,102.22
184,Home,149.79
185,Clothing,243.2
186,Clothing,477.63
187,Beauty,131.2
188,Clothing,368.51
189,Sports,225.33
190,Clothing,155.95
191,Clothing,233.4
192,Clothing,44.89
193,Home,401.36
194,Beauty,129.22
195,Electronics,365.45
196,Beauty,43.49
197,Sports,478.0
198,Home,104.58
199,Home,442.54
200,Clothing,406.64
