transaction_id,customer_id,product_id,date,quantity,base_price,category,discount,total_amount
1,1241,117,2025-07-09 14:07:08.373570,1,78.63,Beauty,0.2,62.9
2,4612,200,2025-07-09 14:07:08.373570,2,406.64,Clothing,0.0,813.28
3,474,192,2025-07-09 14:07:08.373570,1,44.89,Clothing,0.0,44.89
4,4132,20,2025-07-09 14:07:08.373570,3,252.12,Electronics,0.0,756.36
5,3250,106,2025-07-09 14:07:08.373570,1,112.11,Beauty,0.0,112.11
6,1793,4,2025-07-09 14:07:08.373570,1,27.18,Clothing,0.2,21.74
7,1735,18,2025-07-09 14:07:08.373570,1,226.82,Clothing,0.1,204.14
8,4926,51,2025-07-09 14:07:08.373570,2,477.01,Home,0.2,763.22
9,3943,196,2025-07-09 14:07:08.373570,1,43.49,Beauty,0.0,43.49
10,945,20,2025-07-09 14:07:08.373570,1,252.12,Electronics,0.0,252.12
11,1512,122,2025-07-09 14:07:08.373570,2,438.41,Sports,0.0,876.82
12,4082,137,2025-07-09 14:07:08.373570,3,117.74,Home,0.0,353.22
13,4527,80,2025-07-09 14:07:08.373570,1,451.47,Home,0.0,451.47
14,859,154,2025-07-09 14:07:08.373570,5,342.9,Electronics,0.0,1714.5
15,3561,102,2025-07-09 14:07:08.373570,2,308.69,Beauty,0.1,555.64
16,230,25,2025-07-09 14:07:08.373570,1,271.75,Electronics,0.3,190.22
17,2418,196,2025-07-09 14:07:08.373570,1,43.49,Beauty,0.0,43.49
18,178,169,2025-07-09 14:07:08.373570,2,298.58,Home,0.0,597.16
19,3929,59,2025-07-09 14:07:08.373570,3,377.49,Electronics,0.3,792.73
20,2616,45,2025-07-09 14:07:08.373570,4,61.23,Beauty,0.1,220.43
21,1614,41,2025-07-09 14:07:08.373570,1,172.01,Beauty,0.0,172.01
22,2841,38,2025-07-09 14:07:08.373570,1,36.53,Electronics,0.2,29.22
23,2948,117,2025-07-09 14:07:08.373570,1,78.63,Beauty,0.0,78.63
24,1775,19,2025-07-09 14:07:08.373570,1,327.0,Beauty,0.0,327.0
25,3872,14,2025-07-09 14:07:08.373570,1,144.02,Beauty,0.0,144.02
26,82,127,2025-07-09 14:07:08.373570,3,311.24,Electronics,0.0,933.72
27,846,149,2025-07-09 14:07:08.373570,1,115.08,Clothing,0.0,115.08
28,2810,143,2025-07-09 14:07:08.373570,1,377.9,Electronics,0.0,377.9
29,1217,3,2025-07-09 14:07:08.373570,3,156.04,Sports,0.2,374.5
30,4714,37,2025-07-09 14:07:08.373570,1,477.02,Electronics,0.1,429.32
31,3261,117,2025-07-09 14:07:08.373570,1,78.63,Beauty,0.0,78.63
32,3146,174,2025-07-09 14:07:08.373570,1,58.61,Home,0.0,58.61
33,2264,16,2025-07-09 14:07:08.373570,4,282.47,Electronics,0.0,1129.88
34,2338,142,2025-07-09 14:07:08.373570,4,380.0,Electronics,0.0,1520.0
35,445,9,2025-07-09 14:07:08.373570,1,400.19,Home,0.0,400.19
36,923,7,2025-07-09 14:07:08.373570,1,372.17,Sports,0.2,297.74
37,4289,142,2025-07-09 14:07:08.373570,3,380.0,Electronics,0.1,1026.0
38,4385,134,2025-07-09 14:07:08.373570,1,267.1,Beauty,0.0,267.1
39,2631,15,2025-07-09 14:07:08.373570,1,69.58,Clothing,0.0,69.58
40,1168,180,2025-07-09 14:07:08.373570,2,388.18,Sports,0.0,776.36
41,3964,72,2025-07-09 14:07:08.373570,1,222.69,Electronics,0.1,200.42
42,3442,162,2025-07-09 14:07:08.373570,1,274.02,Electronics,0.0,274.02
43,3513,104,2025-07-09 14:07:08.373570,1,242.22,Sports,0.0,242.22
44,896,129,2025-07-09 14:07:08.373570,1,481.52,Sports,0.2,385.22
45,3723,96,2025-07-09 14:07:08.373570,2,316.66,Beauty,0.1,569.99
46,2061,122,2025-07-09 14:07:08.373570,2,438.41,Sports,0.0,876.82
47,3035,115,2025-07-09 14:07:08.373570,1,272.91,Electronics,0.3,191.04
48,2388,197,2025-07-09 14:07:08.373570,1,478.0,Sports,0.0,478.0
49,1898,148,2025-07-09 14:07:08.373570,1,473.11,Electronics,0.2,378.49
50,1800,80,2025-07-09 14:07:08.373570,1,451.47,Home,0.0,451.47
51,4408,7,2025-07-09 14:07:08.373570,1,372.17,Sports,0.0,372.17
52,2781,135,2025-07-09 14:07:08.373570,2,281.99,Sports,0.1,507.58
53,1128,50,2025-07-09 14:07:08.373570,1,210.64,Home,0.1,189.58
54,339,130,2025-07-09 14:07:08.373570,2,330.27,Clothing,0.0,660.54
55,4455,47,2025-07-09 14:07:08.373570,2,371.6,Electronics,0.0,743.2
56,1173,14,2025-07-09 14:07:08.373570,4,144.02,Beauty,0.0,576.08
57,2809,31,2025-07-09 14:07:08.373570,2,295.45,Home,0.0,590.9
58,4864,50,2025-07-09 14:07:08.373570,1,210.64,Home,0.0,210.64
59,3030,189,2025-07-09 14:07:08.373570,1,225.33,Sports,0.0,225.33
60,2090,41,2025-07-09 14:07:08.373570,1,172.01,Beauty,0.0,172.01
61,4298,14,2025-07-09 14:07:08.373570,1,144.02,Beauty,0.3,100.81
62,3018,133,2025-07-09 14:07:08.373570,1,112.08,Home,0.0,112.08
63,4560,5,2025-07-09 14:07:08.373570,1,28.25,Beauty,0.0,28.25
64,449,192,2025-07-09 14:07:08.373570,1,44.89,Clothing,0.3,31.42
65,4894,157,2025-07-09 14:07:08.373570,1,423.77,Sports,0.0,423.77
66,794,5,2025-07-09 14:07:08.373570,4,28.25,Beauty,0.0,113.0
67,437,113,2025-07-09 14:07:08.373570,2,376.68,Clothing,0.0,753.36
68,4627,118,2025-07-09 14:07:08.373570,1,180.65,Home,0.0,180.65
69,4661,96,2025-07-09 14:07:08.373570,1,316.66,Beauty,0.0,316.66
70,1621,36,2025-07-09 14:07:08.373570,2,381.81,Home,0.0,763.62
71,3502,79,2025-07-09 14:07:08.373570,1,453.92,Clothing,0.0,453.92
72,2920,19,2025-07-09 14:07:08.373570,1,327.0,Beauty,0.0,327.0
73,4309,192,2025-07-09 14:07:08.373570,4,44.89,Clothing,0.0,179.56
74,949,22,2025-07-09 14:07:08.373570,1,276.66,Clothing,0.0,276.66
75,3945,162,2025-07-09 14:07:08.373570,3,274.02,Electronics,0.0,822.06
76,1128,56,2025-07-09 14:07:08.373570,1,206.93,Home,0.2,165.54
77,192,17,2025-07-09 14:07:08.373570,1,170.22,Electronics,0.0,170.22
78,4013,184,2025-07-09 14:07:08.373570,1,149.79,Home,0.0,149.79
79,3761,17,2025-07-09 14:07:08.373570,2,170.22,Electronics,0.0,340.44
80,3731,146,2025-07-09 14:07:08.373570,2,448.21,Home,0.1,806.78
81,1404,173,2025-07-09 14:07:08.373570,2,355.25,Home,0.0,710.5
82,1991,78,2025-07-09 14:07:08.373570,3,183.59,Clothing,0.0,550.77
83,1105,56,2025-07-09 14:07:08.373570,4,206.93,Home,0.2,662.18
84,4801,80,2025-07-09 14:07:08.373570,3,451.47,Home,0.0,1354.41
85,549,50,2025-07-09 14:07:08.373570,4,210.64,Home,0.0,842.56
86,3449,58,2025-07-09 14:07:08.373570,5,295.86,Clothing,0.0,1479.3
87,1862,18,2025-07-09 14:07:08.373570,1,226.82,Clothing,0.0,226.82
88,4250,135,2025-07-09 14:07:08.373570,2,281.99,Sports,0.1,507.58
89,571,76,2025-07-09 14:07:08.373570,1,424.26,Beauty,0.0,424.26
90,1785,10,2025-07-09 14:07:08.373570,1,221.55,Beauty,0.0,221.55
91,2288,69,2025-07-09 14:07:08.373570,1,32.82,Beauty,0.0,32.82
92,2422,85,2025-07-09 14:07:08.373570,1,210.82,Electronics,0.0,210.82
